LV1_ISO,LV2_Category,VDI3233_No,HB,HRC,Material_Description,Composition_Heat_Treatment,Material_No,JIS,DIN,AISI_ASTM_SAE,BS,EN,AFNOR,SS,UNI,UNE_IHA,UNS,GOST,GB,Brands
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.3501,100Cr2,E50100,,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.3505,SUJ2,100Cr6,52100,2S135,31,100C6,2258,100Cr6,F.1310,SC C 15,"Gr15,45Gr",,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5024,46Si7,45S7,46SI7,F.1451,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5025,51Si7,9259H,50Si7,51S7,2090,50Si7,F.1450,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5026,55Si7,56Si7,55S7,2085,55Si7,F.1440,G92550,55S2,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5027,60Si7,9260,251A60,60Si7,60S7,60Si7,F.1441,G92600,60S2,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5028,SUP7,65Si7,9260H,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5415,STFA 12,15Mo3,A204Gr.A,1503-243B,15D3,2912,16Mo3(KG),F.2601,K11820,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5419,SCPH11,20Mo4,4419,1503-243-430,2512,G20Mo5,G44190,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5423,SB450M,16Mo5,4520,1503-245-420,16Mo5(KG),F.2602,K11522,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5622,14Ni6,A350-LF5,16N6,14Ni6(KG),F.2641,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5732,SNC415(H),14NiICr10,3415,14NC11,16NiCr11,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.5752,SNC815(H),14NiCr14,3310,655M13,36A,12NC15,20X2H4A,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.6511,SUP10,36CrNiMo4,9840,816M40,110,40NCD3,36NiCrMo4(KB),40C N2MA,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.6523,SNCM220(H),21NiCrMo2,8620,805M20,362,20NCD2,2506,20NiCrMo2,20C GNM,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.6546,SNCM240,40NiCrMo2-2,8740,311-Tyre7,40NiCrMo2(KB),38C GNM,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.6566,17NiCrMo6-4,,,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.6587,17CrNiMo6,820A16,18NCD6,14NiCrMo13,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.6657,10NiCrMo13-4,14NiCrMo131,,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7015,SCr415(H),10Cr3,5015,523M15,12C3,G50150,15C,15Cr,,,,,
